,Date,Close/Last,Volume,Open,High,Low
0,2024-07-03,2369.4,185930.0,2338.6,2374.5,2335.7
1,2024-07-02,2333.4,146568.0,2341.6,2346.1,2327.4
2,2024-07-01,2338.9,136861.0,2336.2,2348.8,2328.2
3,2024-06-28,2339.6,131191.0,2338.6,2350.6,2329.7
4,2024-06-27,2336.6,135784.0,2309.4,2342.0,2306.8
5,2024-06-26,2313.2,182929.0,2331.8,2335.8,2304.7
6,2024-06-25,2330.8,140179.0,2346.8,2349.7,2327.1
7,2024-06-24,2344.4,113448.0,2333.5,2347.5,2329.5
8,2024-06-21,2331.2,187501.0,2373.8,2382.6,2329.2
9,2024-06-20,2369.0,245146.0,2344.2,2379.5,2338.5
10,2024-06-18,2346.9,150209.0,2333.7,2348.2,2320.2
11,2024-06-17,2329.0,118761.0,2348.5,2348.7,2324.3
12,2024-06-14,2349.1,155486.0,2319.6,2352.3,2316.7
13,2024-06-13,2318.0,177184.0,2340.9,2342.4,2310.9
14,2024-06-12,2354.8,232497.0,2334.0,2358.8,2327.2
15,2024-06-11,2326.6,142203.0,2329.5,2337.3,2314.5
16,2024-06-10,2327.0,137332.0,2311.0,2331.3,2304.5
17,2024-06-07,2325.0,299274.0,2395.7,2406.7,2304.2
18,2024-06-06,2390.9,163317.0,2375.3,2397.8,2372.2
19,2024-06-05,2375.5,167661.0,2347.1,2377.6,2345.3
20,2024-06-04,2347.4,165859.0,2371.3,2373.1,2335.1
21,2024-06-03,2369.3,166789.0,2348.0,2375.5,2334.8
22,2024-05-31,2345.8,175833.0,2364.5,2381.2,2341.1
23,2024-05-30,2366.5,179642.0,2361.0,2373.7,2343.3
24,2024-05-29,2341.2,114728.0,2362.5,2363.7,2334.2
25,2024-05-28,2356.5,308914.0,2338.0,2365.5,2333.8
26,2024-05-24,2334.5,171919.0,2330.4,2349.0,2326.3
27,2024-05-23,2337.2,263098.0,2383.0,2385.7,2328.1
28,2024-05-22,2392.9,246229.0,2425.4,2430.5,2378.0
29,2024-05-21,2425.9,225980.0,2431.5,2438.2,2408.5
30,2024-05-20,2438.5,276267.0,2422.2,2454.2,2411.1
31,2024-05-17,2417.4,209395.0,2381.4,2427.4,2377.8
32,2024-05-16,2385.5,183138.0,2391.5,2402.7,2375.2
33,2024-05-15,2394.9,245081.0,2362.9,2396.1,2357.1
34,2024-05-14,2359.9,184159.0,2342.3,2365.2,2340.5
35,2024-05-13,2343.0,221846.0,2369.1,2370.8,2337.6
36,2024-05-10,2375.0,245997.0,2353.5,2385.3,2352.0
37,2024-05-09,2340.3,226529.0,2316.5,2354.2,2312.9
38,2024-05-08,2322.3,196159.0,2322.0,2329.6,2311.4
39,2024-05-07,2324.2,186868.0,2334.8,2338.7,2318.2
40,2024-05-06,2331.2,188984.0,2312.8,2341.9,2300.6
41,2024-05-03,2308.6,226187.0,2313.5,2330.7,2285.2
42,2024-05-02,2309.6,181818.0,2329.9,2336.1,2294.3
43,2024-05-01,2311.0,215271.0,2298.2,2339.5,2291.7
44,2024-04-30,2302.9,221866.0,2347.0,2347.6,2296.2
45,2024-04-29,2357.7,179984.0,2347.6,2358.9,2331.0
46,2024-04-26,2347.2,163124.0,2344.2,2364.4,2338.0
47,2024-04-25,2342.5,218190.0,2327.4,2357.6,2316.4
48,2024-04-24,2338.4,178250.0,2335.7,2350.9,2324.8
49,2024-04-23,2342.1,261999.0,2342.3,2347.9,2304.6
50,2024-04-22,2346.4,256123.0,2403.7,2404.3,2338.2
51,2024-04-19,2413.8,264374.0,2394.0,2433.3,2386.8
52,2024-04-18,2398.0,195493.0,2377.9,2408.0,2377.2
53,2024-04-17,2388.4,279551.0,2398.0,2412.0,2370.7
54,2024-04-16,2407.8,290700.0,2399.1,2414.8,2379.2
55,2024-04-15,2383.0,336608.0,2369.4,2404.3,2340.2
56,2024-04-12,2374.1,463075.0,2389.4,2448.8,2350.6
57,2024-04-11,2372.7,247444.0,2351.7,2395.6,2343.1
58,2024-04-10,2348.4,342343.0,2372.4,2378.1,2337.1
59,2024-04-09,2362.4,270153.0,2358.1,2384.5,2355.7
60,2024-04-08,2351.0,276104.0,2343.6,2372.5,2321.7
61,2024-04-05,2345.4,281439.0,2309.5,2350.0,2286.2
62,2024-04-04,2308.5,227956.0,2321.0,2325.3,2298.7
63,2024-04-03,2315.0,245709.0,2301.7,2321.8,2285.7
64,2024-04-02,2281.8,266558.0,2272.7,2301.9,2267.1
65,2024-04-01,2257.1,214706.0,2259.2,2286.4,2249.1
66,2024-03-28,2238.4,240035.0,2215.7,2256.9,2207.5
67,2024-03-27,2212.7,183343.0,2200.5,2218.3,2193.7
68,2024-03-26,2177.2,197985.0,2173.0,2200.6,2168.3
69,2024-03-25,2176.4,201700.0,2166.6,2182.5,2164.4
70,2024-03-22,2160.0,200525.0,2183.4,2188.0,2158.4
71,2024-03-21,2184.7,378441.0,2190.2,2225.3,2168.2
72,2024-03-20,2161.0,226302.0,2161.4,2192.2,2152.3
73,2024-03-19,2159.7,170802.0,2164.0,2166.3,2150.2
74,2024-03-18,2164.3,207164.0,2159.9,2167.2,2149.2
75,2024-03-15,2161.5,182912.0,2166.2,2176.9,2158.7
76,2024-03-14,2167.5,202253.0,2179.5,2181.3,2157.0
77,2024-03-13,2180.8,207753.0,2163.6,2185.6,2161.3
78,2024-03-12,2166.1,291892.0,2189.1,2190.8,2156.2
79,2024-03-11,2188.6,216026.0,2187.6,2195.5,2180.9
80,2024-03-08,2185.5,355568.0,2166.6,2203.0,2161.2
81,2024-03-07,2165.2,237353.0,2156.7,2172.2,2151.7
82,2024-03-06,2158.2,305992.0,2136.4,2160.7,2131.9
83,2024-03-05,2141.9,272144.0,2123.3,2150.5,2118.5
84,2024-03-04,2126.3,310812.0,2091.6,2128.4,2088.1
85,2024-03-01,2095.7,315978.0,2052.8,2097.1,2047.0
86,2024-02-29,2054.7,218122.0,2043.8,2059.4,2036.0
87,2024-02-28,2042.7,132119.0,2039.7,2047.4,2033.4
88,2024-02-27,2044.1,142302.0,2041.2,2049.1,2038.1
89,2024-02-26,2038.9,124720.0,2044.2,2046.8,2034.1
90,2024-02-23,2049.4,201845.0,2034.1,2053.2,2025.4
91,2024-02-22,2030.7,144525.0,2036.5,2045.5,2029.3
92,2024-02-21,2034.3,117615.0,2036.2,2043.5,2030.9
93,2024-02-20,2039.8,196210.0,2027.7,2042.7,2023.9
94,2024-02-16,2024.1,155539.0,2016.1,2027.2,2006.6
95,2024-02-15,2014.9,197716.0,2004.8,2020.2,2001.8
96,2024-02-14,2004.3,184484.0,2006.3,2008.8,1996.4
97,2024-02-13,2007.2,201369.0,2033.7,2047.3,2002.8
98,2024-02-12,2033.0,111785.0,2038.2,2041.8,2025.4
99,2024-02-09,2038.7,109127.0,2049.7,2051.9,2034.3
100,2024-02-08,2047.9,133305.0,2051.0,2053.8,2034.6
